Name,Type,Price,Description,ImageName,ListDate
Sullivans Cove Double Cask Brandy 70cl,Brandy,511.00,"Sullivans Cove XO Double Cask Brandy was born from a collaboration between Sullivans Cove Distillery and the thriving Tasmanian wine industry, when ten years ago we were given the opportunity to distill wines from the Huon Valley. The result is a spirit of incredible depth and character, matured for many years by the unique Tasmanian climate.

This Double Cask expression is a marriage of brandies aged from eight to ten years in various European and American oak casks, lending a complexity and nuance of flavour unmatched in Australian brandy. Perfect for sipping after a meal, pairing with your favourite cigar or in a decadent classic cocktail, this versatile brandy is custom built for lovers of all fine dark spirits.",sullivans_cove_double_cask_brandy.png,7/6/2021 12:00:00AM
Martell Cordon Bleu 70cl,Brandy,328.00,"Martell Cordon Bleu is endowed with beautiful complexity and rich aromas, making it a legendary cognac. Its high proportion of Borderies marks this blend, expanding on its caramelised character with the smoothness of sweet spices, gingerbread and roasted cocoa beans.",martell_cordon_bleu.png,7/8/2021 12:00:00AM
Gran Patrón Piedra 750ml,Tequila,612.00,"For Gran Patrón Piedra, it all starts with 100% Weber Blue agave grown in the Highlands of Jalisco, Mexico, of which only the best are selected for this, Gran Patrón Platinum and Gran Patrón Burdeos. The agave is slowly steam-cooked before being crushed with a two-ton Tahona. The Tahona is a traditional method that utilizes a two-ton volcanic stone wheel to extract the sugary juice from the agave, which is then fermented, distilled, and aged in barrels. Piedra, which means “stone” in Spanish, is created entirely from the traditional Tahona process – a process that few tequilas are made with anymore.",gran_patron.jpg,7/1/2021 12:00:00AM
Don Julio 1942 700ml,Tequila,86.00,"The Don Julio 1942 was produced to commemorate Don Julio Gonzalez-Frausto Estrada, founder of Don Julio Tequila. He did his first distillation at a tender of 17 year old in 1942.",don_julio.png,2021-07-08
Kah Anejo Tequila 700ml,Tequila,126.00,"It is a small batch Anejo tequila and matured for at least 30 months in American white-oak which makes it smooth and notes of tropical fruit, agave and a hint of cinnamon spice.",kah_anejo.jpg,2021-07-08
Roku Gin 70cl,Gin,119.00,"The first gin from Japan's legendary Suntory - Roku Gin. This expression is made using a selection of botanicals, including six Japanese botanicals provide a whistle-stop tour of the four seasons. These include sakura leaf and sakura flower for spring, sencha tea and gyokuro tea for summer, sansho pepper for autumn and yuzu peel for winter. Traditional gin botanicals also featured include the likes of juniper, orange peel, lemon peel, coriander and cinnamon, among others.",ki_no_bi_kyoto_sei_navy_strength.png,2021-07-06
Ki No Bi Kyoto SEI (Navy Strength) 70cl,Gin,188.00,"Initially bottled for the 2017 Tokyo International Bar Show, the Kyoto Distillery's Ki No Bi Navy Strength is made with the same 11 botanicals distilled in six flavour categories as the original expression, but with the final blend tweaked to fully showcase the botanicals at the higher proof. Fun fact: Ki No Bi Navy Strength is bottled at 54.4% ABV, which was always the traditional British Navy Strength (rather than the more widely used 57%). Nose: Classic Ki No Bi freshness, but packing a punch. Yuzu and juniper notes really sing. Palate: Refreshingly floral and aromatic, with but with a real creamy, full-bodied mouthfeel. Finish: Long, led by classic juniper and citrus notes. Overall: Elegant and harmonious, even with the hefty ABV. Perfect for cocktails, or a more robust G&T.",roku_gin.png,2021-07-05
Star Of Bombay London Dry Gin 70cl,Gin,152.00,"Star of Bombay is a higher-strength, super-premium variant of Bombay Sapphire. The classic notes of juniper, angelica and coriander have been intensified, with the addition of bergamot and ambrette seeds offering extra exoticness. A rich and intense gin.",star_of_bombay_london_dry_gin.png,2021-07-06
Sheridans 1L,Liqueur,79.00,Sheridan's is a coffee liqueur produced in Dublin by Thomas Sheridan & Sons and was first introduced in 1994. Its uniquely shaped bottle is a combination of white milk chocolate liqueur and black liqueur with coffee and whisky flavors.,sheridans.jpg,2021-07-01
Bear Hug Rum Infusion Mango 1L,Liqueur,66.00,"A tropical paradise infusion. Juicy, sweet, sun-grown mangos artfully merged with Premium five-times distilled plantation virgin Rum from Barbados.",bear_hug_rum_infusion_mango.jpg,2021-07-02
Pinaq Original 1L,Liqueur,98.00,The vibrant sweetness of Tropical Gold pineapple and aromatic notes of passion fruit balanced perfectly with smokey French VSOP Cognac and 3 Kilos Vodka for an exceptionally smooth yet daringly bold experience.,pinaq_original.jpg,2021-07-06
Bacardi Superior White 75cl,Rum,56.00,"The most famous white Rum in the world, Bacardi is sold in over 100 countries and used in countless cocktails. A light and clean spirit, Bacardi is filtered through charcoal for purity and aged in white oak for character.",bacardi_superior_white.png,2021-07-03
Bacardi 151 75cl,Rum,159.00,"The Bacardi 151° (75.5%acl) is one of Bacardi's signature rums mainly used to create cocktails due to its high alcohol content. Due to the rum's flammable nature, it is used to make flaming drinks like the B-52 and Caribou Lou.",bacardi_151.png,2021-07-03
Dictador Solera XO Perpetual 70cl,Rum,269.00,"A premium Columbian Solera rum from Dictador, complete with their European design and Japanese bottles. This XO release is aged in the finest oak casks and brought down to 40% abv with demineralised water. The second of a pair of XO rums from Dictador, the Perpetual follows the Insolent with a sweet and fruity take on old rum, packed full of orange marmalade, butterscotch and tobacco**44.",dictador_solera_xo_perpetual.png,2021-07-04
